,Product_Name,Pricing,Delivery_method,Delivery_review,image
0,New iPad Pencil for Apple iPad Air/iPad Mini/iPad Pro | Wireless Charging | PS2,$24.99,Free shipping,"Est. delivery Wed, Mar 19",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
1,Apple iPhone 13 Pro 128GB Unlocked - Excellent,$389.99,Free shipping,"Est. delivery Wed, Mar 19",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
2,Apple iPhone 14 128GB Unlocked - Excellent,$364.95,Free shipping,"Est. delivery Wed, Mar 19",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
3,2024 Apple MacBook Air 15-inch M3 Chip 16GB RAM 256GB SSD Midnight MC9G4LL/A,$949.00,Free shipping,"Est. delivery Wed, Mar 19",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
4,Apple iPad Air 2 9.7in Tablet Choose Color 16GB 32GB 64GB 128GB *Grade B*,$79.99 to $89.99,Free shipping,"Est. delivery Wed, Mar 19",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
5,Apple iPad Air 2 9.7in Tablet Choose Color 16GB 32GB 64GB 128GB *Grade B*,$79.99 to $89.99,Free shipping,"Est. delivery Wed, Mar 19",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
6,Apple iPhone 13 128GB Unlocked - Good,$284.99,Free shipping,"Est. delivery Wed, Mar 19",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
7,Apple iPhone 12 Pro Max A2342 128GB Unlocked Good Condition,$392.71,Free shipping,"Est. delivery Wed, Mar 19",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
8,Original 61W 20.3V 3A USB-C Charger For Apple MacBook Pro 12 13 A1708 2019 2020,$19.99,Free shipping,"Est. delivery Wed, Mar 19",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
9,Apple iPhone 13 Pro Max 512GB Unlocked AT&T T-Mobile Verizon Very Good Condition,$479.95,Free shipping,"Est. delivery Wed, Mar 19",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
10,3X Tempered Glass Screen Protector For iPhone 16 15 14 13 12 11 Pro Max XR 8 7 6,$5.45,Free shipping,"Est. delivery Wed, Mar 19",https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif
