Product Name,Price,Rating,Image URL
Lenovo Legion Pro 5 16IRX9 Gaming,"₦ 4,000,000","4.4 out of 5
(9)",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/7253293/1.jpg?2813
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD NVIDIA RTX 3050 (4GB) WINS 11","₦ 1,340,000","3.8 out of 5
(5)",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/9747762/1.jpg?4591
Anti Blue Ray Light Blocking Glasses For Computers / Phones,"₦ 4,199","5 out of 5
(2)",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/0368273/1.jpg?4891
"Lenovo Legion 7i - 16.0"" WQXGA Display - 32GB RAM / 1TB SSD - Nvidia GeForce RTX 4070 (8GB) - 14th Gen Core I9-14900HX - Windows 11 - Glacier White.","₦ 4,000,000","3.3 out of 5
(4)",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/0633993/1.jpg?8509
Hp OMEN TRANSCEND 14 14TH GEN INTEL CORE ULTRA 9 UP TO 5.1GHz 32GB RAM 1TB SSD RTX 4070 (8GB) WINS 11,"₦ 3,999,999","5 out of 5
(1)",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/9785383/1.jpg?6815
"Hp Omen 16 Gaming 13th Gen Intel Core I7 16GB RAM/1TB SSD 16.1"" Nvidia RTX 4050 6GB WINS 11","₦ 2,500,000","5 out of 5
(1)",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/2825042/1.jpg?9372
"Hp TUFF DASH GAMING 15 AMD RYZEN 7-7435HS 16GB RAM 512GB SSD RTX 4050 (6GB) BACKLIT KEYBOARD 15.6""FHD WINDOWS 11","₦ 1,840,000","4.3 out of 5
(7)",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/6359304/1.jpg?1355
"DELL Alienware M16 R2 - 16.0"" QHD IPS Display - 32GB RAM / 1TB SSD - Nvidia GeForce RTX 4070 (8GB) - 14th Gen Intel Core Ultra 7 - Win 11 - Dark Metallic Moon","₦ 3,899,000","5 out of 5
(2)",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/5262204/1.jpg?9475
"Asus VIVOBOOK PRO 16X GAMING INTEL CORE I7 16GB RAM 512GB SSD 16""4K OLED RTX 3050 (4GB) WINDOWS 11","₦ 1,650,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/6525104/1.jpg?0289
"Alienware x16 GAMING 13TH GEN INTEL CORE I7 UPTO 5.0GHZ 16GB RAM 1TB SSD 16""(2560x1600) RTX 4060 (8GB) WINDOWS 11","₦ 4,000,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/4184004/1.jpg?1672
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD,4GB NVIDIA RTX 2050 WINS 11","₦ 1,341,800",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/6773042/1.jpg?1984
Msi KATANA 15-B13VEK Gaming,"₦ 2,000,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/3713193/1.jpg?7954
"Hp ENVY 17-CW0097NR, 13th Gen I7,1TB/32GB RTX 3050","₦ 1,980,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/3971872/1.jpg?3248
"Asus VIVOBOOK PRO 15 GAMING INTEL CORE I5 8GB RAM 512GB SSD NVIDIA GTX 1650 (4GB) 15.6""FHD WINS 11","₦ 989,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/5970104/1.jpg?6516
Alienware M17 R5 GAMING AMD RYZEN 9-6900HX UP TO 4.9GHZ 16GB RAM 1TB SSD RTX 3080TI (16GB) WINDOWS 111,"₦ 3,900,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/0184004/1.jpg?1614
"Asus TUFF DASH GAMING 15 AMD RYZEN 7-7435HS 16GB RAM 512GB SSD RTX 4050 (6GB) BACKLIT KEYBOARD 15.6""FHD WINDOWS 11","₦ 1,840,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/7218204/1.jpg?4882
"DELL G7630 GAMING 13TH GEN INTEL CORE I9 UP TO 5.4GHZ 16GB RAM 1TB SSD 16"" RTX 4060 (8GB) WINS 11","₦ 2,952,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/3757483/1.jpg?7607
"Asus TUF 15 Gaming Laptop - 32GB RAM - 1TB SSD - Nvidia GeForce RTX 4070 (8GB) - 15.6"" Full HD IPS Display - Intel Core I7 - Win 11","₦ 3,100,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/4669104/1.jpg?6585
Hp OMEN TRANSCEND 14 14TH GEN INTEL CORE ULTRA 7 UP TO 4.9GHz 16GB RAM 1TB SSD RTX 4060 (8GB) WINS 11,"₦ 3,202,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/3995383/1.jpg?8172
Hp ProBook 11 X360- TOUCH- 256GB SSD/4GB RAM +Mouse &USB Light,"₦ 500,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/6301193/1.jpg?3924
"Hp Omen 16 Gaming 13th Gen Intel Core I7 16GB RAM/1TB SSD 16.1"" Nvidia RTX 4050 6GB WINS 11","₦ 2,500,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/504789/1.jpg?8947
Asus VIVOBOOK PRO 15 INTEL CORE I5 UP TO 4.4GHZ 8GB RAM 512GB SSD NVIDIA 1650 (4GB) WINDOWS 11,"₦ 950,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/1970104/1.jpg?6369
"Hp Omen 16 Gaming 13th Gen Intel Core I7 16GB RAM/1TB SSD 16.1"" 6GB Nvidia RTX 4050 WINS 11","₦ 2,500,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/304789/1.jpg?1525
"Hp Omen 16 Gaming - 16.1"" IPS Display - 32GB RAM / 1TB SSD - Nvidia GeForce RTX 4070 (8GB) - 14th Gen Intel Core I7-14700HX - Win 11 - Meteor Silver","₦ 3,499,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/1662204/1.jpg?1455
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD,4GB NVIDIA RTX 3050 WINS 11","₦ 1,339,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/0363162/1.jpg?0913
Hp OMEN GAMING 16 12TH GEN INTEL CORE I9 16GB RAM 1TB SSD NVIDIA RTX 3060 (6GB) WINS 11,"₦ 2,650,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/1209172/1.jpg?8387
Hp OMEN GAMING 16 12TH GEN INTEL CORE I9 16GB RAM 1TB SSD NVIDIA RTX 3060 (6GB) WINS 11,"₦ 2,649,500",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/3898172/1.jpg?7276
"Hp Omen Transcend 14 - 16GB RAM / 1TB SSD - Nvidia GeForce RTX 4060 (8GB) - 14th Gen Intel Core Ultra 7-155H - 14"" 2.8K OLED Display - Win 11 - Shadow Black","₦ 3,190,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/4685204/1.jpg?5377
Lenovo LEGION 9 161RX9-83G0CTO1WW- Intel Core I9-14900HX,"₦ 7,600,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/7448404/1.jpg?2167
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 8GB RAM, 512GB SSD NVIDIA RTX 3050 (4GB) WINS 11","₦ 1,320,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/4749862/1.jpg?9943
"Alienware M17 R5 AMD RYZEN 9-6900HX 4.9GHZ 16GB RAM 1TB SSD 17.3"" RTX 3080TI (16GB) WINS 11","₦ 3,600,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/5976104/1.jpg?9351
"Hpaay C 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 16GB RAM, 512GB SSD NVIDIA RTX 3050 (4GB) WINS 11","₦ 1,341,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/6866762/1.jpg?5461
Hp Victus Gaming 16 13th Gen Intel Core I7 16GB RAM/1TB SSD RTX 3050 (6GB) Win 11,"₦ 2,100,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/0340032/1.jpg?6084
"Lenovo LEGION 5 GAMING 14TH GEN INTEL CORE I7 5.2GHZ 16GB RAM 1TB SSSD RTX 4060 (8GB) 16""WQXGA WINS 11","₦ 2,940,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/7437104/1.jpg?7324
Hp VICTUS GAMING 15 13TH GEN INTEL CORE I7 8GB RAM 1TB SSD GTX 3050 (6GB) WINS 11,"₦ 2,180,500",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/7350032/1.jpg?6068
