Product Name,Price,Sold_by,Image URL
HP Probook X360 11 G1-intel®celeron-128GB SSD - 4GB ...,"₦180,000",Sold by Dhavid Ventures,N/A
Dell Lalatitude E6430/ E6420- Intel Core I7- 500GB H...,"₦240,000",Sold by Ugoomart,N/A
"HP Stream - 11"" - Intel Celeron - 4GB RAM - 64GB HDD...","₦130,000",Sold by Topzy Gadget,N/A
"HP 11"" Stream 11 Pro G4- Intel Celeron Dual Core- 64...","₦145,000",Sold by Premium Ventures Inc,N/A
HP Probook 11 X360 - Touch Intel Core I5 - 256gb Ssd...,"₦350,000",Sold by Pheemyhan Concept,N/A
HP Stream 11-intel Celeron Dual-core-4GB RAM - 64GB ...,"₦134,000",Sold by Dhavid Ventures,N/A
HP Stream 11 Intel Celeron - 64GB HDD - 4GB RAM - Wi...,"₦140,000",Sold by Best Choose Hub,N/A
HP Stream 11 Laptop- Intel Celeron - 64GB SSD - 4GB...,"₦150,000",Sold by Falana Nation,N/A
Hp Stream 11 Intel Celeron Quad Core - 11'-- 64GB SS...,"₦150,000",Sold by Simplexar Store,N/A
HP Probook 11 X360- Intelceleron - 128GB SSD - 4GB R...,"₦189,000",Sold by God First 01,N/A
"HP Stream 11 Pro - 15"" - Intel Celeron - SSD - 64GB ...","₦145,000",Sold by Gt System Tech,N/A
HP Probook X360 11 Touchscreen Intel Celeron 128GB S...,"₦175,000",Sold by Ibksolution,N/A
Hp Stream 11-intel Celeron Dual-core- 4GB RAM 64GB S...,"₦135,000",Sold by Dhavid Ventures,N/A
HP Stream 11pro G2-intel Celeron-4GB RAM - 64GB -11-...,"₦130,000",Sold by Ibksolution,N/A
HP Stream 11 - Intel Celeron - 64GB HDD - 4GB RAM - ...,"₦155,000",Sold by Bisdek,N/A
Hp Stream 11 - Intel Celeron - 64GB SSD - 4GB RAM - ...,"₦133,000",Sold by Good Guide Ventures,N/A
Hp Stream 11 -intel Celeron 4gb RAM 64GB SSD Window...,"₦133,000",Sold by Dhavid Ventures,N/A
HP Probook 11 X360 - Touch Intel Core I5 - 128GB Ssd...,"₦330,000",Sold by Pheemyhan Concept,N/A
HP Stream 11 - Intel- Celeron Quad Core - 4GB RAM - ...,"₦150,000",Sold by Gaff Essential Gadgets,N/A
HP Stream 11 - Intel Celeron Quad Core - 64GB Ssd - ...,"₦150,000",Sold by Falana Nation,N/A
Toshiba Satellite Pro L830- Intel Core I3 - 250GB RO...,"₦225,000",Sold by Ugoomart,N/A
HP Stream 11 - Intel Celeron Quad Core - 64GB Ssd - ...,"₦150,000",Sold by Falana Nation,N/A
"Lenovo 80ew Intel Core I3 500GB HDD 8GB RAM,15.6 Inc...","₦265,000",Sold by Ugoomart,N/A
HP Stream 11 - Celeron - 4GB RAM - 64GB SSD - Window...,"₦150,000",Sold by Pheemyhan Concept,N/A
